iter	Passed	Remaining
0	4	675
1	6	430
2	7	339
3	8	283
4	9	247
5	9	222
6	11	212
7	11	197
8	12	184
9	13	175
10	16	198
11	18	195
12	19	189
13	20	185
14	21	180
15	22	176
16	24	181
17	26	177
18	29	190
19	30	186
20	31	182
21	32	178
22	38	198
23	39	194
24	41	193
25	43	190
26	45	192
27	46	188
28	47	185
29	58	215
30	59	210
31	70	241
32	72	237
33	73	231
34	74	226
35	76	221
36	77	217
37	78	212
38	79	208
39	80	203
40	81	199
41	83	195
42	84	191
43	87	192
44	87	187
45	88	183
46	89	179
47	90	175
48	91	171
49	92	168
50	94	166
51	95	163
52	96	160
53	97	157
54	98	154
55	99	151
56	101	149
57	102	146
58	103	144
59	106	143
60	107	140
61	108	138
62	109	135
63	110	132
64	111	130
65	112	127
66	113	125
67	115	123
68	116	121
69	117	119
70	118	116
71	119	114
72	120	112
73	121	110
74	122	108
75	124	106
76	125	104
77	126	102
78	127	100
79	128	98
80	129	96
81	130	94
82	132	92
83	133	90
84	134	88
85	135	86
86	138	86
87	139	84
88	140	82
89	142	80
90	143	78
91	144	76
92	145	74
93	146	73
94	147	71
95	149	69
96	150	68
97	151	66
98	153	64
99	154	63
100	155	61
101	156	59
102	157	58
103	158	56
104	159	54
105	163	53
106	164	52
107	165	50
108	166	48
109	167	47
110	168	45
111	169	43
112	170	42
113	171	40
114	172	39
115	173	37
116	175	35
117	176	34
118	177	32
119	178	31
120	179	29
121	180	28
122	181	26
123	182	25
124	184	23
125	185	22
126	186	20
127	187	19
128	188	17
129	189	16
130	190	14
131	191	13
132	193	11
133	195	10
134	196	8
135	197	7
136	198	5
137	199	4
138	201	2
139	202	1
140	203	0
